100 4
1 1 -0.05348708935148447
1 2 0.3658891309470741
1 3 -0.1177178188812665
1 4 0.9216326764201342
2 1 -0.3770230290933624
2 2 0.46964699200871657
2 3 0.7910587729281038
2 4 -0.10729098845622609
3 1 0.7127899648019204
3 2 0.6574833938936755
3 3 -0.08183372819328022
3 4 -0.23010713539940397
4 1 0.5890018954839188
4 2 -0.4618142846491589
4 3 0.5947030972017122
4 4 0.2934834915102168
1 5 0.2292034429383375
2 6 0.20150350301964282
3 7 0.0951984166599072
4 8 0.05205217515287901
5 5 0.8688846965582976
5 6 0.2693286203717401
5 7 0.414646432608956
5 8 -0.02387078256188361
6 5 0.07116644804642772
6 6 -0.12078483212183488
6 7 -0.013678729374191224
6 8 0.9900299254893571
7 5 -0.24083359196146034
7 6 0.9553812662891618
7 7 -0.10827305284443332
7 8 0.13237357377665956
8 5 -0.42658399142746906
8 6 -0.010943244567892021
8 7 0.9034147299635533
8 8 0.04181111504152654
5 9 0.1860743602457824
6 10 0.1764651304168492
7 11 0.23226659860597743
8 12 0.29119286975685277
5 1 0.28929207766705395
5 4 0.05430949951208836
5 2 0.2621316897885479
6 4 0.2962144353984673
5 3 0.03597718963919849
7 4 0.03764824720719941
8 4 0.2459899683356841
9 9 -0.2525024584942874
9 10 0.5842787754979735
9 11 0.764961342930745
9 12 -0.09846301223566234
10 9 -0.2793939584781715
10 10 -0.27313126959506295
10 11 0.2310846792131221
10 12 0.8910320962615523
11 9 0.21016875247740452
11 10 0.7579496263555471
11 11 -0.45594130988313725
11 12 0.41648407092183853
12 9 0.9022253709037061
12 10 -0.09762164708436648
12 11 0.39185652578030117
12 12 0.1513534185989776
9 13 0.0932550987345316
10 14 0.28809889123054877
11 15 0.2947874118543773
12 16 0.09350919484141096
9 5 0.19887216776952407
9 8 0.06491868580188698
9 6 0.1776673329077878
10 8 0.20843988926385462
9 7 0.08837299526468324
11 8 0.20061399313536066
12 8 0.16782850268084304
13 13 0.7473270477544725
13 14 0.1038199508565551
13 15 0.5996978653509731
13 16 0.26661990134311836
14 13 0.1282696536067928
14 14 0.5755466898646402
14 15 -0.5303081422492194
14 16 0.6091520155212743
15 13 -0.24554341068455646
15 14 0.8074345540812673
15 15 0.34778412363018946
15 16 -0.4084165492432473
16 13 -0.6039516645623005
16 14 -0.07756846308638429
16 15 0.4880388795049523
16 16 0.6253347683428403
13 17 0.030520446774686714
14 18 0.24420421969277203
15 19 0.09111491144829711
16 20 0.09162829175940981
13 9 0.2806090995127137
13 12 0.04422699435417916
13 10 0.19306317099815737
14 12 0.07466970850959379
13 11 0.29403650047326246
15 12 0.054406775531071434
16 12 0.12248115151188627
17 17 0.7983615284738474
17 18 -0.1295074418714186
17 19 -0.0594214477043747
17 20 0.5850775879364537
18 17 0.0840283417529954
18 18 0.9325251889775819
18 19 -0.34660893896666783
18 20 0.05655310011809992
19 17 0.4441053411775687
19 18 0.254455072397467
19 19 0.7144092972851864
19 20 -0.47711887200281733
20 17 -0.3979052067675143
20 18 0.22108190915008463
20 19 0.6049385844311824
20 20 0.6533326449369052
17 21 0.14052392968944238
18 22 0.21824918597910223
19 23 0.014494528292475328
20 24 0.1804212901683643
17 13 0.20018861194120788
17 16 0.2857476033917564
17 14 0.09646101563872835
18 16 0.17964332830810306
17 15 0.21271251676033465
19 16 0.11591281760971253
20 16 0.23948244497263918
21 21 0.660437718233679
21 22 0.40804289831864926
21 23 0.45896335407042405
21 24 -0.4320597795287524
22 21 0.6624743836969248
22 22 -0.04166397885614296
22 23 -0.254009324357882
22 24 0.7034707292777056
23 21 -0.11930531974902933
23 22 -0.3365781936080374
23 23 0.8452151785744049
23 24 0.3976086797022535
24 21 -0.332740066657524
24 22 0.847632128688585
24 23 0.10219199903669278
24 24 0.4004505185269331
21 25 0.06570941586575278
22 26 0.008543359024477592
23 27 0.07633515136379451
24 28 0.2827020446312852
21 17 0.1485044655074084
21 20 0.018795819088940402
21 18 0.06113709903365708
22 20 0.11993477347053995
21 19 0.027218076861968876
23 20 0.26213668267616275
24 20 0.2936737783725902
25 25 0.8955547632678393
25 26 -0.19321462608446965
25 27 -0.2389596399258185
25 28 0.32178885117704964
26 25 -0.16796972018388343
26 26 0.26124971165465494
26 27 0.3495780714995765
26 28 0.8839286923662698
27 25 0.27581849520278057
27 26 -0.23123605819358825
27 27 0.9025868455567632
27 28 -0.23620124750529214
28 25 0.3060914843534616
28 26 0.9170313963101204
28 27 0.07765596333219396
28 28 -0.24357949984913355
25 29 0.030746895170051167
26 30 0.1799915013640425
27 31 0.18950372192612583
28 32 0.21517257361531608
25 21 0.12955958716296892
25 24 0.05666433341414387
25 22 0.0965698845389911
26 24 0.04099663081835544
25 23 0.2694903713361782
27 24 0.21848124423567952
28 24 0.0523839180177908
29 29 0.7430463563969366
29 30 0.5439994700436755
29 31 0.23880471062121747
29 32 -0.3080892711902724
30 29 0.3611002057782183
30 30 -0.20425528577460092
30 31 0.3975903245894572
30 32 0.8184182020293257
31 29 -0.37200193653041835
31 30 -0.03660081761284471
31 31 0.8857162038036547
31 32 -0.27528484463793707
32 29 -0.42320599340012144
32 30 0.8130219769326087
32 31 -0.020026240226505784
32 32 0.3993631203268517
29 33 0.19874849258190175
30 34 0.25299489091711985
31 35 0.13713898826972712
32 36 0.02394665574627961
29 25 0.172090772893309
29 28 0.2702245036534701
29 26 0.19210065572357124
30 28 0.08897692029396216
29 27 0.10041108146954911
31 28 0.24273502046818915
32 28 0.13364965886705626
33 33 0.6050267157497403
33 34 0.7208309450906074
33 35 -0.3073538274293644
33 36 -0.1409930728560301
34 33 0.0051919025430992366
34 34 0.3044299846806106
34 35 0.8853602583236346
34 36 -0.3513298187692776
35 33 0.7704842940282409
35 34 -0.45830036113315237
35 35 0.2870135634402001
35 36 0.3375469538336614
36 33 -0.20067304261626573
36 34 0.4215280678820423
36 35 0.19822727397355247
36 36 0.8618296617126714
33 37 0.11272088765282501
34 38 0.2493916892711976
35 39 0.27214453513028286
36 40 0.2799794412672189
33 29 0.29754951628334547
33 32 0.028585885570838576
33 30 0.2543549502022052
34 32 0.05861620839186081
33 31 0.002344306222197634
35 32 0.28416892619738027
36 32 0.1264751216520793
37 37 0.6903459353196995
37 38 0.524738239680342
37 39 0.3297055029229273
37 40 -0.3733182968287039
38 37 0.5756687361976123
38 38 -0.3948519885306111
38 39 0.201162146407483
38 40 0.6871908062327374
39 37 -0.43724448644665675
39 38 0.3529448583574908
39 39 0.7496697734759016
39 40 0.349631830312401
40 37 0.029073266486796485
40 38 0.6664620123680026
40 39 -0.5374228343973337
40 40 0.5159068019657383
37 41 0.25158489016988006
38 42 0.2540120209907542
39 43 0.22646419752666996
40 44 0.15297961830555848
37 33 0.2325096559583385
37 36 0.002495621156842487
37 34 0.18793318359993674
38 36 0.09522245451781793
37 35 0.2473109457220202
39 36 0.014988336538208502
40 36 0.05364090906673907
41 41 0.526964287767432
41 42 0.6940756052112722
41 43 -0.48814454522769507
41 44 0.047776528053183116
42 41 0.5490007794995377
42 42 0.07090185003137639
42 43 0.6414931151275599
42 44 -0.5310910044568321
43 41 -0.3571872380697488
43 42 0.6375633864100555
43 43 0.5592422480826197
43 44 0.3913800112792488
44 41 0.5415939996775885
44 42 -0.3267183959039913
44 43 0.19351897624750816
44 44 0.7499876233133926
41 45 0.03539758140438165
42 46 0.15592822912468662
43 47 0.12943877781407045
44 48 0.2270234372377179
41 37 0.1334913581348103
41 40 0.1962405995855809
41 38 0.24538948436827593
42 40 0.048615775679929495
41 39 0.1563247543191783
43 40 0.04901775522177736
44 40 0.1126251272811078
45 45 -0.3611057089827225
45 46 0.6962187543761965
45 47 -0.16674587730488666
45 48 0.5975599764013374
46 45 0.657795783954839
46 46 0.4617812673268818
46 47 -0.5217350205718275
46 48 -0.28610371557554537
47 45 0.6138627082509448
47 46 -0.27522263610102743
47 47 0.13103790148381342
47 48 0.7281855150791829
48 45 0.2451121151027411
48 46 0.47569949314502913
48 47 0.8263276886837676
48 48 -0.17553516504098557
45 49 0.14058450465207886
46 50 0.028094414465323823
47 51 0.19555519724767187
48 52 0.22963178733986062
45 41 0.010039382916499228
45 44 0.2670253809057213
45 42 0.18607964488815212
46 44 0.09302692145445442
45 43 0.20129920620424502
47 44 0.11642469443463987
48 44 0.07226381819489439
49 49 0.10603718061877573
49 50 0.11388412592832196
49 51 -0.010177169010409257
49 52 0.9877666462373069
50 49 -0.019308870340187786
50 50 0.9245428661584272
50 51 0.367013625348404
50 52 -0.1007405329069096
51 49 0.9737532513287154
51 50 -0.06763063680841845
51 51 0.1955985825975611
51 52 -0.09472009806513672
52 49 -0.20046917313982054
52 50 -0.357319173095975
52 51 0.9093616544177463
52 52 0.07208675768312738
49 53 0.2307159697971816
50 54 0.056216563163747575
51 55 0.107475469343865
52 56 0.22254469735024127
49 45 0.23513505077664995
49 48 0.29875241143629355
49 46 0.17435129869822213
50 48 0.00862570855522934
49 47 0.048921524690080764
51 48 0.2688789284443275
52 48 0.08584723688577178
53 53 -0.2959532288358114
53 54 -0.1343867812730023
53 55 0.6675915015020184
53 56 0.6698309238031793
54 53 0.9188456231044109
54 54 -0.3048119136554125
54 55 0.21223923085647636
54 56 0.13329263700986507
55 53 0.2335170529300887
55 54 0.7325541107961838
55 55 -0.3100751829525831
55 56 0.5591848009946091
56 53 0.11663701485536634
56 54 0.5936281370255456
56 55 0.6427514892434352
56 56 -0.4699701743436015
53 57 0.09584479029898471
54 58 0.20418760293189264
55 59 0.1181176153549288
56 60 0.2130221227455145
53 49 0.07832331972736577
53 52 0.1771980761791665
53 50 0.07512317720048896
54 52 0.24786466488155978
53 51 0.17270145367383663
55 52 0.2786828327776451
56 52 0.028205237713463838
57 57 -0.045689722601067094
57 58 -0.49488170305911455
57 59 0.8633900948118005
57 60 0.08696029787678425
58 57 0.19562079497254173
58 58 0.6958593070918393
58 59 0.46105087355113583
58 60 -0.5147275214185767
59 57 -0.20043151006302476
59 58 0.5172766857922657
59 59 0.20466273796271714
59 60 0.8064522328068972
60 57 0.9588911114390436
60 58 -0.057417375826015755
60 59 -0.01013902698535438
60 60 0.27771978951497217
57 61 0.1721928049657578
58 62 0.2531019897223372
59 63 0.11728510950628007
60 64 0.1269260608871512
57 53 0.23008715318668024
57 56 0.02717567368934115
57 54 0.13080359872465677
58 56 0.15704973211787995
57 55 0.23587720110878457
59 56 0.17015727082498788
60 56 0.09184064436885454
61 61 0.44595268676576455
61 62 0.31756368677906854
61 63 -0.5041248403667485
61 64 0.6679353646355928
62 61 -0.4192763482658772
62 62 0.31248689688832965
62 63 0.6120205986285596
62 64 0.5932875103289078
63 61 0.34856081289751545
63 62 0.7976074727016031
63 63 0.24528534606473476
63 64 -0.42680531651877096
64 61 0.709816106229952
64 62 -0.4066049232399312
64 63 0.5577849327343326
64 64 0.14039052869818403
61 65 0.02934915915099574
62 66 0.10596951786065784
63 67 0.2706442244216149
64 68 0.18036669657190993
61 57 0.29400703722641863
61 60 0.2468618057850929
61 58 0.0198819924779599
62 60 0.029883310588707745
61 59 0.08806115822819101
63 60 0.19560914225088918
64 60 0.15482781691382086
65 65 0.47910408776570906
65 66 -0.189690204626181
65 67 -0.17289579963727886
65 68 0.839394985583576
66 65 -0.2689287109891939
66 66 -0.07737683452759135
66 67 0.9043359742172729
66 68 0.32228344608539383
67 65 -0.05355265294569465
67 66 0.9678106817743404
67 67 -0.020452297064589252
67 68 0.24506387157381462
68 65 0.833827760904107
68 66 0.14619485623938627
68 67 0.38969884750800093
68 68 -0.36261982489340666
65 69 0.08508018985621087
66 70 0.010093489856135928
67 71 0.02192892280307582
68 72 0.09779513012564364
65 61 0.15074814540902046
65 64 0.05051205994628658
65 62 0.21870125288780812
66 64 0.0603784569545432
65 63 0.09004726523560616
67 64 0.22866567512288516
68 64 0.19452422280897488
69 69 -0.03192218106961631
69 70 0.4368221754177004
69 71 0.14228300938999336
69 72 0.8876502163904624
70 69 -0.07106726631562758
70 70 0.14055705225732978
70 71 0.9613519146270719
70 72 -0.2258221755320258
71 69 0.5503846014535484
71 70 0.7538152029175033
71 71 -0.14650009584693008
71 72 -0.32768453160029154
72 69 0.83126843347802
72 70 -0.47031132452293944
72 71 0.18465038152852734
72 72 0.23174185234835434
69 73 0.16326828405528615
70 74 0.1674174056967004
71 75 0.10436783769270341
72 76 0.25837498691516075
69 65 0.07744739537449778
69 68 0.06100410502269964
69 66 0.06448910995514034
70 68 0.234392531203194
69 67 0.034481690832935626
71 68 0.2807374582673129
72 68 0.021222213949484734
73 73 -0.2040038420311741
73 74 0.8287900887410221
73 75 -0.43736202300535787
73 76 0.2832028991268104
74 73 -0.21890134329899277
74 74 0.20955970887249756
74 75 0.8169442025547058
74 76 0.4906822803316082
75 73 0.5815056110486396
75 74 0.5078451149499775
75 75 0.34582707366304427
75 76 -0.5332430952783618
76 73 0.7565156037104358
76 74 -0.10623114629602765
76 75 -0.14737796940714157
76 76 0.6282346846781821
73 77 0.023547350470797368
74 78 0.15195083591856265
75 79 0.1352668383010873
76 80 0.17329774657431424
73 69 0.2124165103332495
73 72 0.28367881236356424
73 70 0.1509678069305831
74 72 0.03929213014652953
73 71 0.16422849288355654
75 72 0.10095913045839235
